2026-05-08 23:00:05 | INFO     | data_preprocessing | Dropped 251 rows
2026-05-08 23:00:05 | INFO     | data_preprocessing | Final dataset shape: (737, 23)
2026-05-08 23:00:05 | INFO     | data_preprocessing | Final features used: ['ret_1d', 'ret_10d', 'ret_intraday', 'ret_overnight', 'ret_zscore', 'close_vs_ma50', 'close_vs_252d_high', 'rsi_14', 'volume_ratio_20d', 'vol_20d', 'vix_change', 'nifty_bn_spread']
2026-05-08 23:00:05 | INFO     | __main__ | IS rows: 611
2026-05-08 23:00:05 | INFO     | __main__ | Fold 1 | AUC=0.5133 | BAL_ACC=0.5179
2026-05-08 23:00:05 | INFO     | __main__ | Fold 2 | AUC=0.4293 | BAL_ACC=0.5223
2026-05-08 23:00:05 | INFO     | __main__ | Fold 3 | AUC=0.4444 | BAL_ACC=0.4537
2026-05-08 23:00:05 | INFO     | __main__ | Fold 4 | AUC=0.5990 | BAL_ACC=0.5607
2026-05-08 23:00:06 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 23:00:06 | INFO     | __main__ | Fold 5 | AUC=0.5903 | BAL_ACC=0.5609
2026-05-08 23:00:06 | INFO     | __main__ | Logging walk-forward run to MLflow
2026-05-08 23:00:06 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:00:06 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:00:06 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 23:00:06 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 23:00:07 | INFO     | __main__ | Walk-forward completed
2026-05-08 23:00:07 | INFO     | __main__ | Mean AUC: 0.5153
2026-05-08 23:00:07 | INFO     | __main__ | Mean Balanced Accuracy: 0.5231
2026-05-08 23:02:33 | INFO     | __main__ | Loading processed dataset
2026-05-08 23:02:33 | INFO     | __main__ | Using data directory: C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship\data\csv
2026-05-08 23:02:33 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:02:33 | INFO     | data_preprocessing | Preparing starter features
2026-05-08 23:02:33 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:02:33 | INFO     | data_preprocessing | Recomputing only missing feature values
2026-05-08 23:02:33 | INFO     | data_preprocessing | Creating EMA50
2026-05-08 23:02:33 | INFO     | data_preprocessing | Creating target
2026-05-08 23:02:33 | INFO     | data_preprocessing | Dropping remaining NaNs
2026-05-08 23:02:33 | INFO     | data_preprocessing | Dropped 251 rows
2026-05-08 23:02:33 | INFO     | data_preprocessing | Final dataset shape: (737, 23)
2026-05-08 23:02:33 | INFO     | data_preprocessing | Final features used: ['ret_1d', 'ret_10d', 'ret_intraday', 'ret_overnight', 'ret_zscore', 'close_vs_ma50', 'close_vs_252d_high', 'rsi_14', 'volume_ratio_20d', 'vol_20d', 'vix_change', 'nifty_bn_spread']
2026-05-08 23:02:33 | INFO     | __main__ | Splitting IS vs OOS
2026-05-08 23:02:33 | INFO     | __main__ | Train rows: 611
2026-05-08 23:02:33 | INFO     | __main__ | Test rows : 126
2026-05-08 23:02:33 | INFO     | __main__ | Majority baseline accuracy: 0.5079
2026-05-08 23:02:33 | INFO     | __main__ | Persistence baseline accuracy: 0.5840
2026-05-08 23:02:33 | INFO     | __main__ | Scaling features
2026-05-08 23:02:33 | INFO     | __main__ | Training XGBoost model
2026-05-08 23:02:34 | INFO     | __main__ | Generating predictions
2026-05-08 23:02:34 | INFO     | __main__ | Accuracy           : 0.4127
2026-05-08 23:02:34 | INFO     | __main__ | Balanced Accuracy  : 0.4085
2026-05-08 23:02:34 | INFO     | __main__ | Precision          : 0.4479
