date,Adj Close,Close,High,Low,Open,Volume
2023-01-31,40655.05078125,40655.05078125,40811.6484375,40167.69921875,40563.8515625,289900
2023-02-01,40513.0,40513.0,42015.6484375,39490.5,41115.0,400100
2023-02-02,40669.30078125,40669.30078125,40757.6015625,39761.44921875,39943.3515625,348500
2023-02-03,41499.69921875,41499.69921875,41539.94921875,40609.75,41019.3515625,308800
2023-02-06,41374.6484375,41374.6484375,41724.5,41261.19921875,41530.1484375,197800
2023-02-07,41490.94921875,41490.94921875,41630.75,41095.1015625,41513.1015625,171900
2023-02-08,41537.6484375,41537.6484375,41791.94921875,41403.05078125,41542.05078125,136500
2023-02-09,41554.30078125,41554.30078125,41634.0,41252.94921875,41634.0,142900
2023-02-10,41559.3984375,41559.3984375,41678.8984375,41424.8984375,41452.3984375,155000
2023-02-13,41282.19921875,41282.19921875,41662.55078125,41157.8984375,41563.5,147000
2023-02-14,41648.3515625,41648.3515625,41718.0,41195.75,41410.44921875,143100
2023-02-15,41731.05078125,41731.05078125,41795.44921875,41455.6015625,41674.6015625,116300
2023-02-16,41631.3515625,41631.3515625,41979.1015625,41521.94921875,41925.69921875,111700
2023-02-17,41131.75,41131.75,41516.30078125,40882.69921875,41514.0,138800
2023-02-20,40701.69921875,40701.69921875,41292.6015625,40580.1015625,41221.55078125,143700
2023-02-21,40673.6015625,40673.6015625,40946.19921875,40508.25,40784.8984375,170200
2023-02-22,39995.8984375,39995.8984375,40529.25,39899.0,40494.1484375,155200
2023-02-23,40001.55078125,40001.55078125,40147.80078125,39600.25,39983.69921875,200500
2023-02-24,39909.3984375,39909.3984375,40348.1015625,39818.8984375,40259.1015625,144600
2023-02-27,40307.1015625,40307.1015625,40371.44921875,39745.3984375,39820.3984375,165200
2023-02-28,40269.05078125,40269.05078125,40391.44921875,40073.0,40302.69921875,327800
2023-03-01,40698.1484375,40698.1484375,40725.3515625,40341.94921875,40473.8515625,169800
2023-03-02,40389.80078125,40389.80078125,40773.25,40312.8984375,40604.55078125,149200
2023-03-03,41251.3515625,41251.3515625,41390.1484375,40605.3515625,40671.3984375,213800
2023-03-06,41350.3984375,41350.3984375,41671.19921875,41259.1484375,41418.3984375,180200
2023-03-08,41577.1015625,41577.1015625,41625.3515625,41100.3515625,41178.3515625,157600
2023-03-09,41256.75,41256.75,41659.0,41208.1015625,41532.6484375,119200
2023-03-10,40485.44921875,40485.44921875,40839.0,40341.69921875,40805.25,145300
2023-03-13,39564.69921875,39564.69921875,40690.05078125,39454.6015625,40356.1015625,174500
2023-03-14,39411.3984375,39411.3984375,39768.5,39132.6015625,39522.3984375,205700
2023-03-15,39051.5,39051.5,39914.1015625,38934.6484375,39777.8984375,164300
2023-03-16,39132.6015625,39132.6015625,39381.3984375,38613.1484375,39061.69921875,196300
2023-03-17,39598.1015625,39598.1015625,39705.1484375,38926.80078125,39442.3984375,173400
