date,adj close,close,high,low,open,volume,ret_1d,signal,target,ret_5d,ret_10d,ret_20d,ret_intraday,ret_overnight,high_low_range,log_volume,ema50,close_vs_ma5,close_vs_ma20,close_vs_ma50,close_vs_252d_high,close_vs_252d_low,ma5_smooth_signal,momentum_5_20,vol_5d,vol_20d,vol_50d,volume_ratio_20d,volume_normalized,rsi_14,ret_zscore,dow,vix_level,vix_change,vix_5d_change,vix_ma_ratio
2022-10-25,41122.2734375,41122.75,41530.6484375,41021.44921875,41513.6484375,351800,-0.004409850753552047,-1,1.0,0.019941094403968407,0.062261645281864286,0.0649079079403101,-0.009416142695540454,0.005053879997208261,0.012412999258867146,12.770818111285594,39211.898545277276,0.009472008239460556,0.04534749162925309,0.038227577707800026,,,0.0038930007355741465,-0.04496681353634169,0.010454195811356327,0.013297692561438776,0.013128577899446195,1.6806000095542923,2.2674256316620194,62.45156998395163,-0.5718084539930021,1,16.8799991607666,-0.03099890431471386,-0.03266484683389981,0.8768375222428644
2022-10-27,41298.8203125,41299.30078125,41511.80078125,41178.6484375,41440.69921875,239400,0.004293263005270775,1,-1.0,0.022938523090087592,0.055747208330766185,0.07664800871532651,-0.0034120668851075693,0.007731711005465345,0.00809041472683716,12.38589107210601,39293.7574564919,0.009217281893817368,0.045926857225549574,0.04149801725575745,,,0.004504083810056336,-0.05370948562523892,0.010353669463431149,0.013095821982056902,0.013129130554007551,1.1246564724120922,0.4251407921221881,63.61317919538927,0.0388926575746225,3,16.600000381469727,-0.01658760623327893,-0.050886186466287064,0.8735692846458988
2022-10-28,40990.375,40990.8515625,41482.3984375,40839.30078125,41236.80078125,237100,-0.00746863053163449,-1,1.0,0.02222720115026222,0.061279296875,0.08556707365896443,-0.005964313770476367,-0.0015133428125343753,0.015747029061409807,12.376237272053498,39360.31016653143,-0.0026646657722861097,0.03388523986530123,0.032807229275223324,,,0.004316299619555216,-0.06333987250870221,0.010546957069209552,0.012570689510863237,0.013172443545349456,1.1069611092954854,0.365712349839067,60.11417951700226,-0.9217648463547137,4,15.920000076293944,-0.04096387286441605,-0.07603015094290344,0.8516329227035068
2022-10-31,41307.41796875,41307.8984375,41353.69921875,41106.1015625,41265.69921875,237200,0.007734576446078112,1,-1.0,0.012844424381965425,0.05094176899483749,0.0972209079559867,0.0010226221668098098,0.006705097497936373,0.006023379664781365,12.376658946105707,39436.68617715765,0.0024938295110672587,0.037094803672344315,0.039828163807384395,,,0.002555924730918427,-0.08437648357402128,0.008395081968738484,0.012480671959312347,0.013190895239840971,1.111527647610122,0.38246499409016615,62.40331173993607,0.23978678916657398,0,15.800000190734863,-0.0075376812175880215,-0.0856481734433282,0.8578331630607313
2022-11-01,41289.0703125,41289.55078125,41677.25,41188.55078125,41552.3984375,304400,-0.00044416823280812867,-1,-1.0,-0.0003715698822798208,0.034295745395995114,0.06879284157916987,-0.006325691563757883,0.0059189648771393035,0.011864928711511439,12.626097904969669,39509.34753418089,0.0021232056565725515,0.03318729398750464,0.0385122945167331,,,-7.43085793785224e-05,-0.06916441146144969,0.0061971779796679135,0.011477441660397209,0.013179490814949192,1.4072070822642906,1.352287008521112,62.180903344500244,-0.33286871157973236,1,16.1299991607666,0.020886010509370223,-0.0740528650905602,0.8849751234841845
2022-11-02,41146.171875,41146.6484375,41474.30078125,41060.44921875,41472.6015625,175800,-0.003460980830406468,-1,1.0,0.0005811488166524992,0.020533831964036686,0.08196236694437631,-0.007859481024087251,0.004433343976537648,0.010079080243257963,12.077102264233213,39573.555412742426,-0.0014609600709590408,0.025611740861569116,0.033794376208497304,,,0.00011576022043255188,-0.08138121812772381,0.006042914513520641,0.010709146682188617,0.01294189472316735,0.812159290400074,-0.6251612279581672,60.37601062835981,-0.6924728168426016,2,16.65999984741211,0.03285807279734043,-0.013033135325375311,0.9260185546876786
2022-11-03,41297.87109375,41298.3515625,41478.0,40819.1484375,40873.69921875,263600,0.0036868889875789623,1,-1.0,-2.2983893965378144e-05,0.022915011979539823,0.05595238915667955,0.010389378790437425,-0.006633571119761994,0.016140747362939155,12.48218808161049,39641.1944774388,0.0022251598625639343,0.026593277193448003,0.036043735114655515,,,-4.613832649988719e-06,-0.05597537305064493,0.005944000849263852,0.0090899198566088,0.012655462469016915,1.2114805708114071,0.7006012250588526,61.64867701605655,0.10106071638381608,3,15.9399995803833,-0.043217303338730195,-0.03975908348912882,0.8950279096259567
2022-11-04,41257.96875,41258.44921875,41516.19921875,41051.1484375,41314.8515625,190400,-0.0009661970088470362,-1,1.0,0.006528228764459465,0.02890053416862437,0.05029160505587971,-0.0013651832601812945,0.0003995316853029659,0.011328569332427705,12.156882401339402,39704.61623200003,-4.194040750928322e-05,0.023089223414034254,0.033714548495809106,,,0.0012959241525416516,-0.04376337629142024,0.004404286855215915,0.00911685793507255,0.012594610741005293,0.8687518536262633,-0.44554555745984514,61.09285549012454,-0.37846989820881505,4,15.65999984741211,-0.017565855730371283,-0.016331672590190083,0.8884350164190347
2022-11-07,41686.21484375,41686.69921875,41779.3984375,41337.05078125,41740.6484375,393400,0.010379692114200534,1,1.0,0.009170177994485496,0.02213238803427009,0.06403198697931645,-0.0012924863596879765,0.011687284129207247,0.01070099699639539,12.882582184937096,39782.34497657846,0.008485578804446522,0.030503339963914043,0.043060054663808585,,,0.0018362337335638191,-0.05486180898483095,0.005400457473533658,0.009195237088790649,0.012615405574344825,1.7060953661339635,2.2005546125184234,64.76461533154942,0.7838672729040493,0,15.59000015258789,-0.004469967784564655,-0.013291141494423342,0.8926168784916981
2022-11-09,41782.71484375,41783.19921875,41948.8984375,41667.8984375,41914.8515625,490500,0.002314887045712588,1,-1.0,0.011955771573183949,0.011579759286268088,0.06881259221525848,-0.0031409473931618436,0.005473024922236606,0.006743800636393686,13.103180557987555,39860.809848820485,0.00841154741772799,0.02946587818353611,0.043994823409281486,,,0.0023683738302694855,-0.056856820642074535,0.005249385608617169,0.009114194078261131,0.012605604762068514,1.984825493171472,2.643290364279451,65.55348423092059,-0.11567559950406019,2,15.920000076293944,0.021167409908669832,-0.01301916276495807,0.9212696419767382
